<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLUSDT,1,241112,105800,213.79000000,214.27000000,213.61000000,213.82000000,17727.54000000
SOLUSDT,1,241112,105700,213.47000000,213.96000000,212.95000000,213.80000000,13801.90700000
SOLUSDT,1,241112,105600,213.87000000,213.87000000,212.95000000,213.50000000,16866.61700000
SOLUSDT,1,241112,105500,213.03000000,213.92000000,212.63000000,213.88000000,19729.69400000
SOLUSDT,1,241112,105400,212.63000000,213.19000000,212.32000000,213.01000000,14712.88600000
SOLUSDT,1,241112,105300,212.09000000,212.95000000,211.85000000,212.64000000,21524.78800000
SOLUSDT,1,241112,105200,210.55000000,212.13000000,209.61000000,212.09000000,38117.57500000
SOLUSDT,1,241112,105100,209.30000000,210.60000000,208.49000000,210.53000000,41630.01600000
SOLUSDT,1,241112,105000,209.24000000,210.02000000,208.89000000,209.28000000,37147.21000000
SOLUSDT,1,241112,104900,210.29000000,210.80000000,209.20000000,209.22000000,29573.72100000
SOLUSDT,1,241112,104800,210.64000000,210.88000000,209.78000000,210.30000000,24398.53300000
SOLUSDT,1,241112,104700,210.79000000,212.00000000,210.04000000,210.64000000,27771.88000000
SOLUSDT,1,241112,104600,211.80000000,211.84000000,210.69000000,210.78000000,11380.06100000
SOLUSDT,1,241112,104500,210.40000000,212.00000000,210.13000000,211.80000000,24360.21500000
SOLUSDT,1,241112,104400,210.75000000,211.12000000,210.20000000,210.40000000,18854.59100000
SOLUSDT,1,241112,104300,211.49000000,212.04000000,210.55000000,210.74000000,20716.84400000
SOLUSDT,1,241112,104200,211.01000000,212.08000000,210.57000000,211.50000000,25831.39500000
SOLUSDT,1,241112,104100,212.36000000,212.50000000,210.59000000,211.06000000,28700.15600000
SOLUSDT,1,241112,104000,212.02000000,212.88000000,212.01000000,212.36000000,14625.74900000
SOLUSDT,1,241112,103900,212.26000000,212.84000000,212.02000000,212.03000000,14482.22700000
SOLUSDT,1,241112,103800,212.71000000,213.78000000,212.06000000,212.26000000,19147.56600000
SOLUSDT,1,241112,103700,212.63000000,213.48000000,212.15000000,212.70000000,30727.76700000
SOLUSDT,1,241112,103600,213.64000000,214.26000000,212.01000000,212.63000000,21810.15400000
SOLUSDT,1,241112,103500,214.36000000,214.61000000,212.76000000,213.65000000,25207.58000000
SOLUSDT,1,241112,103400,215.54000000,215.57000000,214.31000000,214.36000000,6966.25800000
SOLUSDT,1,241112,103300,215.94000000,215.94000000,215.29000000,215.53000000,5448.96600000
SOLUSDT,1,241112,103200,215.47000000,216.23000000,215.46000000,215.94000000,7331.49900000
SOLUSDT,1,241112,103100,214.83000000,215.54000000,214.66000000,215.46000000,9130.95700000
SOLUSDT,1,241112,103000,215.30000000,216.00000000,214.81000000,214.82000000,8187.68500000
SOLUSDT,1,241112,102900,215.68000000,215.75000000,215.22000000,215.30000000,5843.65800000
SOLUSDT,1,241112,102800,214.58000000,215.69000000,214.36000000,215.67000000,11794.58700000
SOLUSDT,1,241112,102700,213.66000000,214.72000000,213.66000000,214.57000000,16562.03800000
SOLUSDT,1,241112,102600,214.12000000,214.12000000,213.47000000,213.65000000,10794.78000000
SOLUSDT,1,241112,102500,215.06000000,215.15000000,214.03000000,214.13000000,8267.87800000
SOLUSDT,1,241112,102400,214.84000000,215.23000000,214.52000000,215.05000000,7551.46600000
SOLUSDT,1,241112,102300,215.06000000,215.38000000,214.48000000,214.83000000,8874.22400000
SOLUSDT,1,241112,102200,215.60000000,215.82000000,214.93000000,215.07000000,11955.29500000
SOLUSDT,1,241112,102100,216.65000000,216.65000000,215.42000000,215.61000000,15247.50500000
SOLUSDT,1,241112,102000,217.19000000,217.29000000,216.32000000,216.66000000,5476.11400000
